marketing_record_id,captured_at,platform,source_label,campaign,name,email,phone,zip_code,service,form_name,landing_page
MKT0000001,2026-04-20T15:11:00.000000,Website Analytics,organic_search,Organic Search,Sarah Bartlett,sarah.bartlett@example.com,2107554721,78240,Interior Painting,Website Estimate Form,/services
MKT0000002,2025-08-20T11:13:00.000000,Google Ads,google_paid,Search | Exterior Painting,robert marsh,robertmarsh@example.net,+1 210 867 2352,78229,Exterior Painting,Request an Estimate,/estimate
MKT0000003,2026-05-27T02:20:00.000000,Google Ads,google_paid,Search | Minor Remodeling,Jonathan Calderon,,7269875635,78201,Minor Remodeling,Request an Estimate,/estimate
MKT0000004,2025-05-26T19:09:00.000000,Google Ads,google_paid,Search | Drywall Repair,David Hall,david.hall83@example.com,+1 726 222 2016,78228,Drywall Repair,Request an Estimate,/estimate
MKT0000005,2026-06-15T17:17:00.000000,Meta,meta_paid,Meta | Home Refresh,Frederick Berger,frederick.berger9@example.org,7269545270,78217,Exterior Painting,Meta Lead Form,/painting-offer
MKT0000006,2025-07-14T14:30:00.000000,Meta,meta_paid,Meta | Free Estimate,Linda Morton,lindamorton@example.net,7267188441,78213,Interior Painting,Meta Lead Form,/painting-offer
MKT0000007,2025-08-08T19:05:00.000000,Website Analytics,direct_website,Direct,Linda Morton,lindamorton@example.net,7267188441,78213,Exterior Painting,Website Contact Form,/contact
MKT0000008,2026-05-04T10:32:00.000000,Website Analytics,direct_website,Direct,Nathan Zimmerman,nathan.zimmerman82@example.org,726-662-4620,78230,Exterior Painting,Website Contact Form,/contact
MKT0000009,2026-06-27T11:36:00.000000,Website Analytics,direct_website,Direct,susan gross,susangross@example.com,2106808944,78240,Exterior Painting,Website Contact Form,/contact
MKT0000010,2025-04-08T11:49:00.000000,Website Analytics,organic_search,Organic Search,David Brown,,(210) 393-7229,78209,Cabinet Painting,Website Estimate Form,/services
MKT0000011,2025-08-15T14:42:00.000000,Google Ads,google_paid,Search | Drywall Repair,Adam Rodriguez,adam.rodriguez@example.org,7262549678,78216,Drywall Repair,Request an Estimate,/estimate
MKT0000012,2025-05-31T12:11:00.000000,Meta,meta_paid,Meta | Free Estimate,Nicholas Johnson,nicholas.johnson@example.net,7269791455,78201,Minor Remodeling,Meta Lead Form,/painting-offer
