system,record_id,timestamp,name,email,phone,zip_code,source,campaign,service
crm,CRM0010466,2025-01-01T16:52:00.000000,Bethany Park,bethanypark@example.com,726 594 9498,78232,Direct,Direct,Interior Painting
crm,CRM0005630,2025-01-02T13:10:00.000000,Christopher Warren,cwarrren@example.org,7262 06 9016,8240,Direct,Direct,Drywall Repair
crm,CRM0002849,2025-01-09T12:12:00.000000,Thomas Avila,thomasavila@example.net,+1 (210) 269-9699,78213,,Customer Referral,Cabinet Painting
crm,CRM0000619,2025-01-09T13:41:00.000000,Jennifer Williams,jennifer.williams11@example.org,+1 (210) 490-3837,78201,Organic Search,Organic Search,Drywall Repair
crm,CRM0010413,2025-01-10T10:35:00.000000,Holly Rodriguez,hollyrodriguez@example.net,2109295441,78213,,Local Contractor,Cabinet Painting
crm,CRM0009728,2025-01-11T11:39:00.000000,Jason Olsen,jason.olsen49@example.net,(726) 963-0771,78240,Organic Search,Organic Search,Exterior Painting
crm,CRM0011386,2025-01-12T06:49:00.000000,Douglas Butler,douglasbutler@example.net,+1 210 923 1491,78209,Organic Search,Organic Search,Exterior Painting
crm,CRM0008709,2025-01-12T08:26:00.000000,Melissa Garrison,melissa.garrison6250@example.net,2105282547,78230,Direct,Direct,Minor Remodeling
crm,CRM0003665,2025-01-12T10:45:00.000000,Barry Mason,barrymason@example.com,+1 (210) 686-1354,78232,Direct,Direct,Minor Remodeling
crm,CRM0006023,2025-01-14T10:09:00.000000,Jason Clarke,jason.clarke50@example.com,2103996492,78217,Organic Search,Organic Search,Minor Remodeling
crm,CRM0008054,2025-01-14T22:48:00.000000,Mark Jones,markjones@example.net,7266974494,78213,,Realtor Network,Exterior Painting
crm,CRM0003768,2025-01-15T17:30:00.000000,Devin Cooper,dcooper@example.net,(726) 966-4646,78209,,Local Contractor,Interior Painting
crm,CRM0012096,2025-01-16T12:18:00.000000,todd smith,,(210) 975-8166,78216,,Realtor Network,Exterior Painting
crm,CRM0012095,2025-01-16T12:18:00.000000,Todd Smith,,(210) 975-8166,78216,,Realtor Network,Exterior Painting
crm,CRM0005790,2025-01-18T14:31:00.000000,Jacob Bradley,jacobbradley@example.org,+1 210 860 0668,78217,Google Ads,Search | Exterior Painting,Exterior Painting
crm,CRM0009713,2025-01-24T15:00:00.000000,Donna Sanchez,donnasanchez@example.com,7267679032,78228,Facebook Ads,Meta | Free Estimate,Drywall Repair
crm,CRM0005786,2025-01-24T17:33:00.000000,Vicki Perry,vickiperry@example.net,+1 (726) 323-8083,78232,Direct,Direct,Interior Painting
crm,CRM0007220,2025-01-25T09:50:00.000000,Cheryl Pruitt,cherylpruitt@example.com,7263275531,78209,Direct,Direct,Minor Remodeling
crm,CRM0002187,2025-01-27T11:55:00.000000,Allison Smith,allisonsmith@example.org,+1 210 890 8899,78209,Direct,Direct,Drywall Repair
crm,CRM0000501,2025-01-27T19:32:00.000000,Scott Yates,syates@example.org,7264947178,78216,Facebook Ads,Meta | Free Estimate,Cabinet Painting
crm,CRM0011616,2025-01-31T19:24:00.000000,Daniel Gonzalez,daniel.gonzalez@example.net,+1 (210) 970-6083,78213,Organic Search,Organic Search,Drywall Repair
crm,CRM0003423,2025-02-04T11:58:00.000000,Nicholas Hawkins,,+1 210 414 1751,78213,Direct,Direct,Drywall Repair
crm,CRM0003422,2025-02-04T11:58:00.000000,Nicholas Hawkins,,+1 210 414 1751,78213,Direct,Direct,Drywall Repair
crm,CRM0010700,2025-02-04T18:11:00.000000,Jason Burton,jasonburton@example.org,726 296 3512,78230,Direct,Direct,Drywall Repair
crm,CRM0000623,2025-02-04T20:47:00.000000,J. Arroyo,,26-230-9462,78209,Google Ads,Search | Exterior Painting,Exterior Painting
crm,CRM0007275,2025-02-05T08:00:00.000000,Haley Garcia,hgarcia@example.com,726-534-2136,78209,Direct,Direct,Drywall Repair
crm,CRM0001406,2025-02-07T06:19:00.000000,Lauren Brown,lauren.brown@example.org,7269147900,78213,Organic Search,Organic Search,Interior Painting
crm,CRM0007016,2025-02-07T14:47:00.000000,Matthew Montes,mmontes@example.org,2106821250,78209,Organic Search,Organic Search,Exterior Painting
crm,CRM0003212,2025-02-08T09:21:00.000000,Michael Morales,mmorales@example.net,+1 (210) 787-6587,78229,Organic Search,Organic Search,Interior Painting
crm,CRM0005525,2025-02-10T02:38:00.000000,Nicholas Nguyen,nicholas.nguyen@example.net,2109253856,78201,Direct,Direct,Interior Painting
crm,CRM0002302,2025-02-10T07:50:00.000000,Michael Martin,mmartin@example.org,210 926 3061,78209,Organic Search,Organic Search,Cabinet Painting
